site_id,year,vi_index,n_obs,method,r2,rmse,corr,vmin,vmax,S,greenup_kinetic_i,A,senescence_kinetic_i,leaf_out_10,leaf_out_50,leaf_out_90,EOS10,EOS50,EOS90
US-Aud,2013,NIRv,22,double_logistic,0.9438076939452442,0.006284299311000264,0.9716748324360996,0.040101371298222166,0.11131037186095959,196.49478840157863,0.2678290658811031,266.53172377401074,0.057047172846196294,188.40975471416732,196.314667203273,203.78811274854053,305.15199333110314,268.32014333308234,236.18151822651382
US-Aud,2014,NDVI,30,double_logistic,0.991115273123637,0.010139486159800782,0.9955583416289762,0.17961480570410682,0.4926953877524963,196.12018841533592,0.2579154497524159,304.97763753266264,0.04143772400648546,187.69561961010794,196.03456051435035,204.14220493380122,344.81887858519207,302.992040352719,256.86468146985067
US-Aud,2014,EVI,30,double_logistic,0.9651739192463378,0.009860789474479426,0.9825259143767551,0.102767819759652,0.26733042362898074,196.60598317095474,0.2535793854550901,290.34592211284627,0.048218994788049724,188.022948204562,196.49117949204208,204.65594977135513,331.9818197323431,290.74837479994807,250.57272327283584
US-Aud,2014,NIRv,30,double_logistic,0.9632939451865619,0.004069664917278789,0.9816519146912128,0.03687157991882613,0.1041348321244858,197.4499285283195,0.2697388426704113,287.67143784742245,0.050121006779678116,189.38351159316835,197.3462022841078,205.0343418128544,328.7316175452813,288.2629550231905,249.40146770939276
US-Aud,2015,NDVI,32,double_logistic,0.903994008475232,0.02040627702512897,0.9508485044489251,0.17824963585687464,0.6235817256770096,239.62891532642786,0.022484057256312074,300.754603308001,0.041587905898608744,108.12848875384397,188.31664061826945,234.70140696581146,346.1191595478393,310.6692893525745,280.9348085027691
US-Aud,2015,EVI,32,double_logistic,0.9182584171493909,0.010189708137870337,0.9583210264566056,0.07916552058506192,0.24669098491189045,194.50797189243528,0.020003068724507477,296.9484414237734,0.04637038958324936,72.56412611359077,160.37739279993238,217.24704429191246,339.88224405484203,303.0538704725473,271.89752650836675
US-Aud,2015,NIRv,32,double_logistic,0.9150433325853246,0.0040286867415869464,0.9566509951926633,0.02473586481737065,0.08779199305824541,193.62171799254526,0.02062636355070905,296.58357872770284,0.04791980719350522,75.30613740584782,161.86243441766067,217.98396367568216,338.73312425309655,302.45507046748935,271.944817741784
US-Aud,2016,NDVI,33,double_logistic,0.9795258931971726,0.01465751169444212,0.9897223998938439,0.18781557629302284,0.8500921343639581,214.12998548952825,0.05589948310989777,262.1995140751334,0.03950020929846868,169.57534817643258,202.63200880828612,225.5755815462513,323.8595749258482,284.6461362743318,257.0972286379383
US-Aud,2016,EVI,33,double_logistic,0.9568732518479741,0.011633950469239492,0.9782189975970615,0.0943427244893048,0.5023984490832566,216.38510839363457,0.043984177328057955,261.53883276735263,0.04157319360700951,151.84341698519194,195.4150821176204,222.84074757616153,322.35052354398147,283.73487266918517,256.5005435161331
US-Aud,2016,NIRv,33,double_logistic,0.9496305231842688,0.005473397550083964,0.9745280251427597,0.031371543657324634,0.21749495184147266,217.8604808925423,0.045042750653817236,259.85576883318777,0.04222665698978361,154.48857614218875,196.86118658506635,223.47181012537234,321.30174615194227,282.8448534538689,256.1645661281184
