vi_index,autumn_parameter,predictor,n,pearson_r,p_value
NIRv,senescence_kinetic_i,leaf_out_10,341,0.02136179354526254,0.6942698166287923
NIRv,senescence_kinetic_i,leaf_out_50,341,0.14617947088602234,0.006850923251508436
NIRv,senescence_kinetic_i,leaf_out_90,341,0.27320495556018376,2.985767472524065e-07
NIRv,senescence_kinetic_i,growing_season_length,336,0.05504118432050743,0.3144519199779749
NIRv,senescence_kinetic_i,total_gpp_growing_season,321,0.0009697996749150357,0.9861912139194983
NIRv,senescence_kinetic_i,gpp_sos10_to_solstice,302,0.0711122850118974,0.21786112684302125
NIRv,senescence_kinetic_i,gpp_solstice_to_eos10,307,-0.015594198052709054,0.7855187011400067
NIRv,senescence_kinetic_i,gpp_solstice_to_eos90,259,0.14486309819458656,0.019680163137873213
NIRv,senescence_kinetic_i,total_reco_growing_season,321,0.011891321130870684,0.8319300136228435
NIRv,senescence_kinetic_i,mean_radiation_growing_season,336,-0.02012981472801239,0.7131358787928557
NIRv,senescence_kinetic_i,mean_temperature_growing_season,336,0.014343035760163297,0.7933631596899131
NIRv,senescence_kinetic_i,photoperiod_at_EOS90,340,-0.2112110332575798,8.68884865783319e-05
