site_id,lat,lon,sensor,date,NDVI,EVI,NIRv,valid_pixel_frac
US-Seg,34.3603,-106.7003,L30,2024-01-03,0.1374888592497902,0.07839752510086527,0.026741060363461903,1.0
US-Seg,34.3603,-106.7003,L30,2024-01-12,0.1268512966458247,0.07473836108476288,0.025552016597894744,1.0
US-Seg,34.3603,-106.7003,L30,2024-01-19,0.1355474895762295,0.08093361253980995,0.028269894805363995,1.0
US-Seg,34.3603,-106.7003,L30,2024-01-27,0.14690313441379163,0.07612622902190026,0.02497677394365872,1.0
US-Seg,34.3603,-106.7003,L30,2024-01-28,0.13247115127640555,0.0754096756397048,0.02551620472970053,1.0
US-Seg,34.3603,-106.7003,L30,2024-02-04,0.13302839884672948,0.07852317358876638,0.0270799783984198,1.0
US-Seg,34.3603,-106.7003,L30,2024-02-05,0.12803321169275697,0.07853130544706755,0.02755762199834059,1.0
US-Seg,34.3603,-106.7003,L30,2024-02-12,0.13485460319302844,0.07832483683210241,0.02674766351949663,1.0
US-Seg,34.3603,-106.7003,L30,2024-02-13,0.12869600007809523,0.07729511558550144,0.026795717447461457,1.0
US-Seg,34.3603,-106.7003,L30,2024-02-20,0.13021441277580326,0.08194414903779644,0.029304185931914944,1.0
US-Seg,34.3603,-106.7003,L30,2024-02-28,0.12598545529701502,0.0787754717044986,0.027984048763885005,1.0
US-Seg,34.3603,-106.7003,L30,2024-03-07,0.12960228970366658,0.08220515990038753,0.029563459159680627,1.0
US-Seg,34.3603,-106.7003,L30,2024-03-08,0.1282160195390916,0.08382568132587839,0.030628381745774216,1.0
US-Seg,34.3603,-106.7003,L30,2024-04-16,0.1552986463908551,0.10399117480740896,0.039220311262375254,1.0
US-Seg,34.3603,-106.7003,L30,2024-04-17,0.15316649979824531,0.10313242744839254,0.03909161410566076,1.0
US-Seg,34.3603,-106.7003,L30,2024-04-24,0.17002746304281674,0.11499398607556345,0.0445155690559609,0.9904114389212756
US-Seg,34.3603,-106.7003,L30,2024-04-25,0.16400037105322546,0.11595348933061411,0.04563079382424956,1.0
US-Seg,34.3603,-106.7003,L30,2024-05-02,0.1636035432693791,0.10943763801339132,0.04159156093439068,1.0
US-Seg,34.3603,-106.7003,L30,2024-05-03,0.15846512362175225,0.10758049142234122,0.04112236663897044,1.0
US-Seg,34.3603,-106.7003,L30,2024-05-10,0.1637382384520577,0.11546856665912238,0.04604813357205379,0.7474162764345301
US-Seg,34.3603,-106.7003,L30,2024-05-11,0.15812542906806334,0.12170007679941483,0.05134030464383764,0.0547644727201568
US-Seg,34.3603,-106.7003,L30,2024-05-18,0.16135195243445757,0.10791540543110463,0.04124617900035406,1.0
US-Seg,34.3603,-106.7003,L30,2024-05-19,0.15615704407386907,0.10694389000964419,0.04131884615423493,1.0
US-Seg,34.3603,-106.7003,L30,2024-05-26,0.15325211493698784,0.10405094086736259,0.04017488183760822,1.0
US-Seg,34.3603,-106.7003,L30,2024-05-27,0.14818289359198736,0.10312494164037188,0.04011151944188736,1.0
US-Seg,34.3603,-106.7003,L30,2024-06-11,0.15359000087677946,0.10501771033804229,0.04087291362042706,1.0
US-Seg,34.3603,-106.7003,L30,2024-06-12,0.14668612092966388,0.10271073714393505,0.040193384218115545,1.0
US-Seg,34.3603,-106.7003,L30,2024-06-19,0.1480883796517125,0.10218674750632234,0.03997661831202776,1.0
US-Seg,34.3603,-106.7003,L30,2024-06-27,0.1629819540115126,0.11683966194063301,0.0478261395682599,0.6272338798858659
US-Seg,34.3603,-106.7003,L30,2024-07-05,0.17723617078431278,0.11861606647004282,0.04558187055465596,1.0
US-Seg,34.3603,-106.7003,L30,2024-07-06,0.17713548086973235,0.1212400091774084,0.04723783412252083,1.0
US-Seg,34.3603,-106.7003,L30,2024-07-13,0.17543520651665961,0.11851048854245026,0.04583399554747047,1.0
US-Seg,34.3603,-106.7003,L30,2024-07-14,0.16999181055881568,0.11692152866767817,0.045674032172418125,1.0
US-Seg,34.3603,-106.7003,L30,2024-07-22,0.220210640155986,0.13892776570819143,0.05347761697431979,0.3286414460660505
US-Seg,34.3603,-106.7003,L30,2024-07-29,0.22482110114466644,0.1492488548989422,0.058421934548171996,1.0
US-Seg,34.3603,-106.7003,L30,2024-07-30,0.2169982489464765,0.14656643991256552,0.05800423413202537,1.0
US-Seg,34.3603,-106.7003,L30,2024-08-06,0.20483464079420471,0.1352325006236095,0.05289671237198534,1.0
US-Seg,34.3603,-106.7003,L30,2024-08-07,0.19572304821284017,0.13156714064989478,0.05172152879394774,1.0
US-Seg,34.3603,-106.7003,L30,2024-08-14,0.19167199255347137,0.12724266791251118,0.04999678090694989,1.0
US-Seg,34.3603,-106.7003,L30,2024-08-15,0.18520302305256794,0.12550933197039613,0.04949120769552678,1.0
US-Seg,34.3603,-106.7003,L30,2024-08-22,0.18638302042481764,0.12432813113289003,0.048758330469751386,1.0
US-Seg,34.3603,-106.7003,L30,2024-08-23,0.19004144570141895,0.12593812917686337,0.04897462358196379,1.0
US-Seg,34.3603,-106.7003,L30,2024-08-30,0.18435702480714108,0.11978670260557137,0.04580924471065844,1.0
US-Seg,34.3603,-106.7003,L30,2024-08-31,0.17984065088662282,0.1197691301849884,0.04626349203995352,1.0
US-Seg,34.3603,-106.7003,L30,2024-09-07,0.1763101550471544,0.11572076777054109,0.044268859202210686,1.0
US-Seg,34.3603,-106.7003,L30,2024-09-08,0.17237854488705395,0.11321408546231437,0.04312629618152237,1.0
US-Seg,34.3603,-106.7003,L30,2024-09-15,0.16419524117405815,0.11769085873807651,0.04802609212080357,1.0
US-Seg,34.3603,-106.7003,L30,2024-09-23,0.16564912106597632,0.10710990979713983,0.04070480908623101,1.0
US-Seg,34.3603,-106.7003,L30,2024-09-24,0.15927903008697014,0.10448155233812222,0.039532107092692545,1.0
US-Seg,34.3603,-106.7003,L30,2024-10-01,0.1599957611888268,0.10419935439601209,0.03947843715119075,1.0
US-Seg,34.3603,-106.7003,L30,2024-10-02,0.1554199798288476,0.10225099639699452,0.0388061143440993,1.0
US-Seg,34.3603,-106.7003,L30,2024-10-09,0.1557001344181445,0.10133751794794772,0.03828125197758014,1.0
US-Seg,34.3603,-106.7003,L30,2024-10-10,0.15159682481093786,0.0992740801975551,0.037330949532845596,1.0
US-Seg,34.3603,-106.7003,L30,2024-10-18,0.15482846117575266,0.10068678617698573,0.03800417719176349,0.7392885260374714
US-Seg,34.3603,-106.7003,L30,2024-10-25,0.15596991301559768,0.09875445218349203,0.03662355945184556,1.0
US-Seg,34.3603,-106.7003,L30,2024-10-26,0.15365924164254052,0.09841540128030193,0.03653923336215722,1.0
US-Seg,34.3603,-106.7003,L30,2024-11-02,0.15342362699047926,0.09686995842399915,0.03579092526480859,1.0
US-Seg,34.3603,-106.7003,L30,2024-11-10,0.16041651244698305,0.09006248977672295,0.031181534885151838,1.0
US-Seg,34.3603,-106.7003,L30,2024-11-18,0.1754371928146943,0.08521410411570719,0.028345939028613397,1.0
US-Seg,34.3603,-106.7003,L30,2024-11-19,0.15872938468273687,0.08665684804869926,0.029625175398272332,1.0
US-Seg,34.3603,-106.7003,L30,2024-11-26,0.14791210396946172,0.0883632387034889,0.03131720971026994,1.0
US-Seg,34.3603,-106.7003,L30,2024-12-04,0.14916671279996752,0.0876870563496015,0.030865372414322655,1.0
US-Seg,34.3603,-106.7003,L30,2024-12-05,0.14501684100683196,0.0867756645597852,0.030746573568394994,1.0
US-Seg,34.3603,-106.7003,L30,2024-12-20,0.1413827064500297,0.0836956502400402,0.0294975874067099,1.0
US-Seg,34.3603,-106.7003,L30,2024-12-21,0.13943190515172166,0.08353164435427113,0.029540398659823195,1.0
US-Seg,34.3603,-106.7003,L30,2024-12-28,0.1469875877358824,0.08676407743286822,0.030717907714714048,1.0
US-Seg,34.3603,-106.7003,L30,2024-12-29,0.14140449214977643,0.0840995008074836,0.029640462779346392,1.0
US-Seg,34.3603,-106.7003,L30,2025-01-05,0.14058058472445054,0.08464021179933245,0.03002938056714513,1.0
US-Seg,34.3603,-106.7003,L30,2025-01-14,0.1569468430876227,0.10083052369822679,0.03819038368532971,0.0259648446286834
US-Seg,34.3603,-106.7003,L30,2025-01-21,0.1403768680611671,0.08314399135835263,0.029105514227818097,1.0
US-Seg,34.3603,-106.7003,L30,2025-01-22,0.1341479541893962,0.08120706358898128,0.028688064010740436,1.0
US-Seg,34.3603,-106.7003,L30,2025-02-06,0.13798455489531858,0.08414861109810498,0.029938912661040717,1.0
US-Seg,34.3603,-106.7003,L30,2025-02-07,0.12333331332641541,0.086719433792007,0.03343438580093642,0.3870738733326961
US-Seg,34.3603,-106.7003,L30,2025-02-22,0.1403490659415859,0.08783310744315702,0.03179018940392419,1.0
US-Seg,34.3603,-106.7003,L30,2025-02-23,0.1344533797965707,0.08553844357103631,0.03114571642399264,1.0
US-Seg,34.3603,-106.7003,L30,2025-03-02,0.13683774743923346,0.08719529808656103,0.03197797195595039,1.0
US-Seg,34.3603,-106.7003,L30,2025-03-03,0.12969582154218895,0.08586751251762846,0.03183567353977152,1.0
US-Seg,34.3603,-106.7003,L30,2025-03-10,0.139823386544094,0.09002966111582819,0.033223641225698514,1.0
US-Seg,34.3603,-106.7003,L30,2025-03-18,0.13846729377006775,0.09056941654104912,0.033892772222200135,1.0
US-Seg,34.3603,-106.7003,L30,2025-03-19,0.13346268995357818,0.08968091879070121,0.03384747552618963,1.0
US-Seg,34.3603,-106.7003,L30,2025-03-27,0.130867735616693,0.09500930711591067,0.03803279810764842,1.0
US-Seg,34.3603,-106.7003,L30,2025-04-03,0.13716652249531408,0.0971515449300291,0.038304320538552865,1.0
US-Seg,34.3603,-106.7003,L30,2025-04-11,0.14027145045166073,0.09521995746112402,0.03657871005697343,1.0
US-Seg,34.3603,-106.7003,L30,2025-04-12,0.1354845039310966,0.09311473076677139,0.035945728649640206,1.0
US-Seg,34.3603,-106.7003,L30,2025-04-20,0.13800543116966077,0.09446704228822633,0.03642862400907261,1.0
US-Seg,34.3603,-106.7003,L30,2025-04-27,0.13434306482433542,0.09288337345838772,0.03619650049948087,1.0
US-Seg,34.3603,-106.7003,L30,2025-04-28,0.13144628904262493,0.0922937978105604,0.03619619899353276,1.0
US-Seg,34.3603,-106.7003,L30,2025-05-21,0.13152921054155145,0.09203223804685057,0.03633988750921775,1.0
US-Seg,34.3603,-106.7003,L30,2025-05-22,0.1285952611793229,0.09178220050714356,0.0362121472208565,1.0
US-Seg,34.3603,-106.7003,L30,2025-05-29,0.1311021790384088,0.09420945549686276,0.03781854659098479,1.0
US-Seg,34.3603,-106.7003,L30,2025-05-30,0.13122975227432468,0.09387310538903745,0.037422157530131867,1.0
US-Seg,34.3603,-106.7003,L30,2025-06-06,0.14400733191648651,0.10101450706073933,0.04035275052804413,1.0
US-Seg,34.3603,-106.7003,L30,2025-06-07,0.14056642205580042,0.10122437116825875,0.04049008254951412,1.0
US-Seg,34.3603,-106.7003,L30,2025-06-14,0.17107319918578737,0.12180406978096897,0.04933980012263031,1.0
US-Seg,34.3603,-106.7003,L30,2025-06-15,0.17036166438526745,0.12321858207000742,0.050139297192015236,1.0
US-Seg,34.3603,-106.7003,L30,2025-06-22,0.1777365843446012,0.12878336268524604,0.05336522685252773,1.0
US-Seg,34.3603,-106.7003,L30,2025-06-23,0.17134007093302742,0.12901532176379132,0.05455098426280624,0.2793424986688874
US-Seg,34.3603,-106.7003,L30,2025-06-30,0.20791049847615953,0.1465686894739132,0.060389138814608674,1.0
