site_id,year,vi_index,EOS90,EOS50,EOS10,senescence_kinetic_i,leaf_out_90,temperature_senescence_rate,photoperiod_senescence_rate
DE-Gri,2019,NIRv,154.7839620842282,190.6355419891621,256.81924739442576,0.0225373736044842,123.4021020329788,-0.03146113960339495,-0.035311355456110104
DE-Gri,2022,NIRv,125.63930538636237,151.902490362789,207.21296769093615,0.032951115632082,115.05935468425294,0.07272034479380937,0.0076541478396960185
DE-Gri,2024,NDVI,193.6861585752389,257.3082837666438,339.997442171033,0.0136760315386565,130.88336832590358,-0.14088508960504365,-0.05529795779608722
DE-GsB,2015,NIRv,179.2516882490012,248.19169917364252,318.5318221037712,0.0139003088445657,128.0502827402349,-0.11227477099066087,-0.05704778592157875
DE-GsB,2022,NIRv,134.73176166136966,156.8391594131937,200.69217501145644,0.0407589446308972,115.74965334454272,0.07056743554952508,0.006827759410095485
DE-GsB,2023,NDVI,154.59293848424076,160.00122027037855,165.69489115752228,0.3783410414353738,131.12284470992682,0.32440000000000013,0.02030049890673014
DE-GsB,2023,NIRv,154.3723935201983,160.64057967730324,167.3016320208572,0.3265276185481637,133.72280483541323,0.08548351648351646,0.019180977821607725
DE-GsB,2024,NDVI,151.19463306945897,186.82629022001024,255.6597186503307,0.0234974639025902,120.09700848763838,0.0496903606102635,-0.034196818348793276
DE-GsB,2024,NIRv,160.9996492878454,208.2082010041235,285.74254782338846,0.0171645173194605,120.70354260176182,-0.034855662058371734,-0.04721668602668827
DE-Hai,2022,NDVI,269.651723507806,296.5529716252498,317.54132253098004,0.0784665393189346,132.1481895362449,0.01094425749023013,-0.06093529349220035
DE-Hai,2022,NIRv,188.8099464775536,246.9138842317061,298.59115755577085,0.0342811917111404,128.11690344344635,-0.10643152627189328,-0.05808666059369079
DE-Hai,2023,NDVI,183.7565153930723,217.44112035897885,250.6883944181204,0.0001,134.95938793878568,-0.018859765344401,-0.05022323343472701
DE-Hai,2023,NIRv,174.0620004327838,218.4376143313628,251.48620656507643,0.0159848921378765,138.95767245944276,-0.00866772700983228,-0.04537897449929097
DE-Hai,2024,NDVI,286.1686286525389,296.4489234203123,306.40366079683264,0.2128569046013503,126.89899676192655,-0.16865789473684212,-0.06125473967164703
DE-Hai,2024,NIRv,211.9559261716634,259.4044169791304,300.1391589411959,0.0386959994340663,139.55555359197675,-0.14519627170582225,-0.06306880915158632
DE-HoH,2015,NDVI,282.9314321487914,298.2400903639361,313.4418100209981,0.1434047684463777,117.75027774352536,0.3390342741935484,-0.06255893350327386
DE-HoH,2015,NIRv,203.2033590052966,268.92680449300946,319.9967561815186,0.030435878376242,118.65029179632783,-0.11402622150463229,-0.06278653351987834
DE-HoH,2022,NDVI,157.09645705902443,218.17074608360315,295.1161149384956,0.0086219232130584,123.61499858575422,-0.062337848667432284,-0.046612877389309595
DE-HoH,2022,NIRv,206.68676708141749,266.7933091439279,308.6214523333094,0.0248584915385287,138.57934064964084,-0.1019449706249894,-0.06432596515850496
DE-HoH,2023,NDVI,256.88480687074184,258.58657077531177,260.28654315783047,1.2928995784910746,133.32495670448455,,-0.06896508829711585
DE-HoH,2023,NIRv,193.1086056040809,231.8894713137477,260.4825121571397,0.0172773262815088,145.66235077972556,0.010496567962327381,-0.0584228270111454
DE-HoH,2024,NDVI,248.0745038766875,289.7039059772316,312.3402137882013,0.0459837301534634,122.33087696475744,-0.14804684065934065,-0.06598709789729698
DE-HoH,2024,NIRv,169.49176219399206,244.8343367983196,301.13794597568057,0.0205138742115133,123.66204934155266,-0.07169892201009113,-0.0532068102097801
DE-HoH,2025,NDVI,249.41423561988253,285.24450414064046,310.6805675594006,0.0574630237779778,123.08410024782476,-0.13152633527234264,-0.06620764483799232
DE-HoH,2025,NIRv,222.53291509547807,269.04940639521004,305.0299468447046,0.0436017741920594,128.10163935309262,-0.16615971201880697,-0.06637519956487518
DE-RuW,2022,NDVI,189.6610988231384,231.75646023317748,288.83030213807285,0.0115720446457681,153.07445237756244,-0.12716021026592456,-0.05667697573885577
DE-RuW,2022,NIRv,197.17818804728148,242.34389077451797,288.2024575975954,0.032980580721511,149.1853788824992,-0.15571415830546265,-0.05879169559943428
DE-RuW,2023,NDVI,,,,0.1124324696534622,159.16144989206404,,
DE-RuW,2023,NIRv,194.3036205589061,225.75565386636936,256.15188311611,0.0218989904178317,156.69648771965225,0.08497514542570067,-0.05460535764664945
DE-RuW,2024,NDVI,190.5706790458807,245.33849778834323,295.0108235050791,0.0055871175252924,145.69141024583365,-0.09383990255027992,-0.05723239035395891
DE-RuW,2024,NIRv,214.9753533033576,253.32614230981437,292.59142787496097,0.0277560381172144,164.65633520507933,-0.1443820356858332,-0.062312510268919215
DE-Tha,2015,NDVI,331.5143875395676,354.9245659016793,370.1573929079417,0.08660141440132,97.9052602803219,0.0700820473644003,-0.006278577835723927
DE-Tha,2015,NIRv,186.57048490052944,262.49336079765897,334.1608209569409,0.0247636818798608,128.227297578224,-0.1247175747861271,-0.055062205495117374
DE-Tha,2018,NDVI,211.26088916542295,214.09431658971448,216.9274942153266,0.7759152344588374,130.13870869136665,-0.7050000000000001,-0.052145823877523624
DE-Tha,2018,NIRv,195.6740421700106,255.18113259982852,305.77476072717945,0.0292160735287198,132.18060786530157,-0.1498822442125194,-0.059641111720078265
DE-Tha,2019,NDVI,247.55024288035813,286.986980096151,307.9931763469346,0.0461073767254502,140.55921084874822,-0.06976179494303975,-0.06392292630053345
