site_id,year,vi_index,n_obs,method,r2,rmse,corr,vmin,vmax,S,greenup_kinetic_i,A,senescence_kinetic_i,leaf_out_10,leaf_out_50,leaf_out_90,EOS10,EOS50,EOS90,solstice_doy,growing_season_length,total_gpp_growing_season,total_reco_growing_season,mean_radiation_growing_season,mean_temperature_growing_season,gpp_sos10_to_solstice,gpp_solstice_to_eos10,gpp_solstice_to_eos90,photoperiod_at_EOS90
DE-HoH,2025,NDVI,22,double_logistic,0.9911883686100732,0.0156160521743957,0.9956243110758032,0.4988533327058896,0.8971037066366887,107.39346337495388,0.1394445761096567,290.704150283839,0.0574630237779778,91.66038437843828,107.385449176071,123.08410024782476,310.6805675594006,285.24450414064046,249.41423561988253,172,177.85905496456945,2281.044805,1848.0357600000002,189.5063926940639,14.721666666666668,876.03646,1422.592445,1074.4333299999996,12.986248761403047
DE-HoH,2025,NIRv,22,double_logistic,0.9896030089121876,0.0107847192359164,0.9947919347793404,0.0793866019156954,0.3364892209026374,113.14547656512993,0.1430095982081433,274.18923659600046,0.0436017741920594,97.76200737916824,113.06137973273648,128.10163935309262,305.0299468447046,269.04940639521004,222.53291509547807,172,155.98802666247354,2265.20136,1800.3902699999999,190.9824423076923,15.006192307692308,863.5232600000002,1419.2622000000001,768.0432,14.735989140583971
DE-RuW,2022,NDVI,13,double_logistic,0.97434150655784,0.0118919598261046,0.9875669104430608,0.7619628927561763,1.0255125687104163,135.34551808839325,0.0977504947558094,103.51221720197414,0.0115720446457681,49.0,135.5190608485092,153.07445237756244,288.83030213807285,231.75646023317748,189.6610988231384,172,96.23739938466827,2031.7902589999999,1783.384979683684,190.81719999999999,11.862229166666667,1021.9824699999999,1021.2286889999998,171.93141,16.006176874536038
DE-RuW,2022,NIRv,13,double_logistic,0.9838943883560962,0.0053665637868133,0.992112642953002,0.1007075874700381,0.2271182315544825,131.3222919875342,0.0952266032418087,241.5565810694591,0.032980580721511,108.2267869756138,130.00152996796794,149.1853788824992,288.2024575975954,242.34389077451797,197.17818804728148,172,112.34236080655003,1705.416459,1657.5090500000001,207.45966666666666,14.235255555555558,695.60867,1021.2286889999998,264.07164,15.776293213726847
DE-RuW,2023,NDVI,14,double_logistic,0.968204821774628,0.0099120827235939,0.9844256498874464,0.824428907323682,0.971671248045439,137.45526355765264,0.1018421328554788,41.86296129559047,0.1124324696534622,28.0,28.0,159.16144989206404,,,,172,,,,,,869.508403,,,
DE-RuW,2023,NIRv,14,double_logistic,0.9524908038484992,0.0093952276970032,0.9766865035601804,0.1067247437793033,0.2915039791989317,136.86767622805178,0.0598761214517917,210.57792111691973,0.0218989904178317,104.29297358421412,132.63548764514928,156.69648771965225,256.15188311611,225.75565386636936,194.3036205589061,172,93.12016622122007,1760.6174900000003,1657.46926,216.16013815789475,14.11628947368421,617.2524099999999,1158.43798,301.43449999999996,15.872626887992705
DE-RuW,2024,NDVI,12,double_logistic,0.9704676572445524,0.0066437114164204,0.9851760083937068,0.7113520605900596,0.8636580218460994,129.61978129301758,0.1221551110798008,356.9999999999967,0.0055871175252924,113.22431020415624,129.54053607020157,145.69141024583365,295.0108235050791,245.33849778834323,190.5706790458807,173,115.79796171814166,1797.4722447999998,1696.8627900000001,180.08530769230768,13.356604395604396,483.42220679999997,1324.209738,260.23425000000003,15.982246968932879
DE-RuW,2024,NIRv,12,double_logistic,0.962621352057244,0.0053970849451855,0.981858311053476,0.0845911408742403,0.3025429193089942,142.60742830506828,0.0245496502494183,237.58492688539928,0.0277560381172144,97.39503833386928,129.25292750255423,164.65633520507933,292.59142787496097,253.32614230981437,214.9753533033576,173,124.07321480726014,1964.4175447999999,1843.2795,179.3230512820513,12.806389743589744,661.7415168,1312.835728,684.1225199999999,14.989018589633291
DE-Tha,2015,NDVI,14,double_logistic,0.6279912410240527,0.0462507332024529,0.8056309133323635,0.6810333488861287,0.8327159653181645,97.40171436494012,4.370471153452174,359.92643825417383,0.08660141440132,96.88402963124902,97.40260344041144,97.9052602803219,370.1573929079417,354.9245659016793,331.5143875395676,172,257.52196246126783,1487.888215,1016.0496350000001,156.05705204460966,12.94171003717472,608.07154,888.950335,846.5907520000001,8.113816768239563
DE-Tha,2015,NIRv,14,double_logistic,0.967835124315982,0.0074318564370773,0.9838239380094448,0.0960246549925117,0.2294898995884683,126.75926234379708,1.4783358995692633,264.43953506172835,0.0247636818798608,125.28710280628,126.75866916416452,128.227297578224,334.1608209569409,262.49336079765897,186.57048490052944,172,135.73469163349444,1273.697072,873.91325,167.79780861244018,14.207641148325358,433.65583000000004,849.174902,121.80801,16.153428428679174
DE-Tha,2018,NDVI,13,double_logistic,0.6802080142780034,0.0380312242221682,0.8267851391073644,0.7219379795134753,0.8503332033133476,122.15440785022508,0.2752036432233359,214.09432736277807,0.7759152344588374,114.17009166230186,122.1544077956053,130.13870869136665,216.9274942153266,214.09431658971448,211.26088916542295,172,91.93990879410919,801.0394000000001,545.3166200000001,245.98198039215686,18.274549019607843,498.32441,310.00613,292.61255,15.2319728616006
DE-Tha,2018,NIRv,13,double_logistic,0.9845909429442616,0.0059875071765587,0.9922793949799484,0.0993623766194577,0.2325191145651894,118.5473362530783,0.1459939626493935,260.8174858886257,0.0292160735287198,103.69620630723746,118.2758935270151,132.18060786530157,305.77476072717945,255.18113259982852,195.6740421700106,172,136.9052390728134,1207.9465610000002,863.3069700000001,197.83103960396036,17.022846534653464,565.62927,649.6084310000001,174.21338,15.896886361553902
DE-Tha,2019,NDVI,13,double_logistic,0.8702388426184597,0.0215829511683383,0.933527169258294,0.6856966413912927,0.8399607045214775,118.2329613817832,0.0963335148519743,306.3121243959483,0.0461073767254502,95.4110803120196,118.13800671850883,140.55921084874822,307.9931763469346,286.986980096151,247.55024288035813,172,168.84897337764215,1291.0937059999999,860.5989200000001,194.9855330188679,15.378707547169812,511.81058,789.604626,547.22816,13.068953664844145
DE-Tha,2019,NIRv,13,double_logistic,0.9658396556577986,0.0083101705962163,0.98341953898702,0.0955852823622774,0.2276464751300003,118.69720916673148,0.1020028973927636,276.4033541282098,0.0229805384276428,97.59309179118222,118.06083419457256,137.12259846138673,300.8208657649049,256.7287646837675,197.6554544049002,172,138.66793048919493,1262.335066,841.6189400000001,198.89854679802954,15.728384236453202,502.50721000000004,770.149356,225.01788,15.826810846070243
DE-Tha,2022,NDVI,15,double_logistic,0.9517412034004156,0.0160172689500796,0.9757703012773096,0.6609006894443198,0.8305608177527098,123.92962634102874,0.1661605835141276,295.33944692341794,0.0858612645462824,110.70687299769936,123.92858631765468,137.14645692220918,315.7841951430275,294.11477513330885,269.0654091791617,172,170.1861888156542,1344.133981,930.93033,188.80595609756097,16.075653658536584,525.96152,829.240861,650.4912300000001,11.647530534556287
