site_id,year,n_growing_season_days,passed,failed_variables,GPP_NT_VUT_REF_frac_bad,GPP_NT_VUT_REF_max_consecutive_bad_days,NEE_VUT_REF_frac_bad,NEE_VUT_REF_max_consecutive_bad_days,RECO_NT_VUT_REF_frac_bad,RECO_NT_VUT_REF_max_consecutive_bad_days
CA-Cbo,2014,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2015,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2016,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2017,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2018,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2019,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2020,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2021,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2022,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2023,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2024,245,True,,0.0,0,0.0,0,0.0,0
CA-Gro,2003,245,True,,0.0,0,0.0,0,0.0,0
CA-Gro,2004,245,True,,0.0,0,0.0,0,0.0,0
CA-Gro,2005,245,True,,0.0,0,0.0,0,0.0,0
CA-Gro,2006,245,True,,0.0,0,0.0,0,0.0,0
CA-Gro,2007,245,True,,0.0,0,0.0,0,0.0,0
CA-Gro,2008,245,True,,0.0,0,0.0,0,0.0,0
CA-Gro,2009,245,True,,0.0,0,0.0,0,0.0,0
CA-Gro,2010,245,True,,0.0,0,0.0,0,0.0,0
CA-Gro,2011,245,True,,0.0,0,0.0,0,0.0,0
CA-Gro,2012,245,True,,0.0,0,0.0,0,0.0,0
CA-Gro,2013,245,True,,0.0,0,0.0,0,0.0,0
CA-Gro,2014,245,True,,0.0,0,0.0,0,0.0,0
CA-LP1,2007,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2008,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2009,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2010,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2011,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2012,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2013,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2014,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2015,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2016,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2017,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2018,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2019,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2020,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2021,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2022,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2023,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-LP1,2024,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Man,1994,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,1995,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,1996,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,1997,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,1998,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,1999,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,2000,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,2001,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,2002,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,2003,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,2004,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,2005,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,2006,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,2007,245,True,,0.0,0,0.0,0,0.0,0
CA-Man,2008,245,True,,0.0,0,0.0,0,0.0,0
CA-Ojp,1999,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ojp,2000,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ojp,2001,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ojp,2002,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ojp,2003,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ojp,2004,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ojp,2005,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ojp,2006,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ojp,2007,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ojp,2008,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ojp,2009,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ojp,2010,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-SCC,2013,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-SCC,2014,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-SCC,2015,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-SCC,2016,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-SCC,2017,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-SCC,2018,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
