site_id,lat,lon,sensor,date,blue,green,red,nir,valid_pixel_frac
US-Seg,34.3603,-106.7003,L30,2021-11-03,0.07954533701038949,0.11383647976481417,0.15607679950487166,0.23242964808570094,1.0
US-Seg,34.3603,-106.7003,L30,2021-11-07,0.07967725870883616,0.11389953221700164,0.16031738041520907,0.23723294558400423,1.0
US-Seg,34.3603,-106.7003,L30,2021-11-10,0.08382587773788229,0.12052696947770326,0.16479116414324135,0.24121450389321958,1.0
US-Seg,34.3603,-106.7003,L30,2021-11-12,0.07954779945481273,0.11302417755448455,0.15690415807700883,0.22802437096399875,1.0
US-Seg,34.3603,-106.7003,L30,2021-11-22,0.07760949754483693,0.11060315507802371,0.15400906931341898,0.22310122416845315,1.0
US-Seg,34.3603,-106.7003,L30,2021-11-26,0.0745176553305937,0.1061216800688082,0.14828954997019222,0.21678389058027403,1.0
US-Seg,34.3603,-106.7003,L30,2021-12-04,0.07370049056303268,0.1055485471582916,0.14726482652438228,0.2114203965915426,0.8571682116673717
US-Seg,34.3603,-106.7003,L30,2021-12-05,0.07778232464583301,0.110307719087471,0.1536375742351221,0.21894634501526777,1.0
US-Seg,34.3603,-106.7003,L30,2021-12-12,0.0728724393718059,0.10370961359054535,0.1458743953108431,0.21279256943401578,1.0
US-Seg,34.3603,-106.7003,L30,2021-12-20,0.07551795841467904,0.10792563108386677,0.15128000782739692,0.21611592010594294,1.0
US-Seg,34.3603,-106.7003,L30,2021-12-28,0.08354798740335204,0.1190799796123618,0.16610264902771896,0.24128008064039064,1.0
US-Seg,34.3603,-106.7003,L30,2022-01-05,0.07286537469111365,0.1040697375546666,0.14561785010535125,0.20960452487246362,1.0
US-Seg,34.3603,-106.7003,L30,2022-01-06,0.08046695655339697,0.11550307407356841,0.15900172612302665,0.22523272079402537,1.0
US-Seg,34.3603,-106.7003,L30,2022-01-13,0.07639739557023945,0.10916920647489545,0.1513567686503657,0.2155657496780301,1.0
US-Seg,34.3603,-106.7003,L30,2022-01-14,0.07845451417805517,0.11093021739229363,0.15389162332018147,0.2167705958378272,1.0
US-Seg,34.3603,-106.7003,L30,2022-01-21,0.0785695022776813,0.11281746556172949,0.15605147651098356,0.2201493881433139,1.0
US-Seg,34.3603,-106.7003,L30,2022-01-22,0.04920396830814455,0.08052062883121493,0.1091248483441869,0.15165261785465617,1.0
US-Seg,34.3603,-106.7003,L30,2022-01-29,0.07916087757860396,0.11293549678940203,0.15622093146021923,0.22031200094656872,1.0
US-Seg,34.3603,-106.7003,L30,2022-02-06,0.0820498696192335,0.11858133347895947,0.1627296053080672,0.22709120646579412,1.0
US-Seg,34.3603,-106.7003,L30,2022-02-07,0.08334462844894666,0.11886548345552259,0.16369916902171205,0.2279308495000935,1.0
US-Seg,34.3603,-106.7003,L30,2022-02-14,0.08255325860899873,0.11804319539821881,0.1634452878616188,0.22755257234653464,1.0
US-Seg,34.3603,-106.7003,L30,2022-02-15,0.08894875603551447,0.12546671581543736,0.17351798890512038,0.2370140815778572,1.0
US-Seg,34.3603,-106.7003,L30,2022-02-22,0.08906584205951552,0.1278795167947719,0.1765625591036722,0.24203118899067536,1.0
US-Seg,34.3603,-106.7003,L30,2022-02-23,0.0954262759339405,0.1351509427007248,0.1853725026280941,0.2502695163851993,1.0
US-Seg,34.3603,-106.7003,L30,2022-03-02,0.09197944034112876,0.13203842205141525,0.1812052361643934,0.24708966055492607,1.0
US-Seg,34.3603,-106.7003,L30,2022-03-10,0.11819239444545844,0.1751177039605766,0.2330689846078968,0.30579821819675124,0.598413586904583
US-Seg,34.3603,-106.7003,L30,2022-03-11,0.0860449219763267,0.12522269216941753,0.17285504707815116,0.23863540622824156,1.0
US-Seg,34.3603,-106.7003,L30,2022-03-19,0.09987466517400029,0.14099002871562427,0.19430908205569283,0.2612932079129523,1.0
US-Seg,34.3603,-106.7003,L30,2022-03-26,0.0877905699064497,0.12603783571023205,0.17218084048843868,0.22891522984823276,0.49715801784828495
US-Seg,34.3603,-106.7003,L30,2022-03-27,0.11640783951722916,0.16473165980077423,0.22313252228544653,0.2949618054311736,0.3303024924797828
US-Seg,34.3603,-106.7003,L30,2022-04-03,0.11611597988730135,0.1727672889010825,0.2300212016968111,0.30261762340923953,0.862524517500148
US-Seg,34.3603,-106.7003,L30,2022-04-11,0.1014675927569275,0.14589744562917242,0.1993324427394068,0.2651560878488766,1.0
US-Seg,34.3603,-106.7003,L30,2022-04-12,0.11846811165706539,0.17136915367671993,0.23022745509996626,0.3014697077261947,0.537177859389008
US-Seg,34.3603,-106.7003,L30,2022-04-20,0.10711430820829979,0.1525107025998789,0.20855522911063468,0.274194782493936,1.0
US-Seg,34.3603,-106.7003,L30,2022-04-27,0.10496738478481471,0.15202801616448458,0.2069945403907327,0.2746677561310817,1.0
US-Seg,34.3603,-106.7003,L30,2022-04-28,0.10920976240210063,0.15587607547066779,0.21199320245197742,0.2779543790189358,1.0
US-Seg,34.3603,-106.7003,L30,2022-05-05,0.10642530297031508,0.15397357297909825,0.20984990192999942,0.27715043255468924,1.0
US-Seg,34.3603,-106.7003,L30,2022-05-13,0.10907291038085745,0.15629506919509786,0.2140667590481524,0.28101321055242295,1.0
US-Seg,34.3603,-106.7003,L30,2022-05-14,0.11256727511024352,0.1607980759166473,0.2191959270231773,0.28516707259910523,1.0
US-Seg,34.3603,-106.7003,L30,2022-05-21,0.10804079438975878,0.15703561556559764,0.21350636021498026,0.28155171360829345,1.0
US-Seg,34.3603,-106.7003,L30,2022-05-22,0.11790566758137999,0.16871148761496504,0.2285483059601986,0.3003808906849425,1.0
US-Seg,34.3603,-106.7003,L30,2022-05-29,0.10884137370813812,0.1559721303716647,0.21255848248619985,0.2797550070310045,1.0
US-Seg,34.3603,-106.7003,L30,2022-05-30,0.11341924856990719,0.16297471887358286,0.2205057353884804,0.2874920770361474,1.0
US-Seg,34.3603,-106.7003,L30,2022-06-06,0.10430890229861513,0.151022632098698,0.20705456514715037,0.27698209938063456,1.0
US-Seg,34.3603,-106.7003,L30,2022-06-07,0.11060959038140332,0.15725848703701176,0.21600188449128713,0.28599725950095795,1.0
US-Seg,34.3603,-106.7003,L30,2022-06-14,0.107112231672742,0.15501844080076085,0.2132292521650492,0.28325713453565793,1.0
US-Seg,34.3603,-106.7003,L30,2022-06-15,0.11184558002375528,0.15940917216177247,0.2185485080162557,0.2881941508412176,1.0
US-Seg,34.3603,-106.7003,L30,2022-06-30,0.094919950760213,0.13971999035227828,0.18620615360811119,0.26085514856126063,1.0
US-Seg,34.3603,-106.7003,L30,2022-07-01,0.09914863225342573,0.14543365371050457,0.19281228992313698,0.27120281513236005,1.0
US-Seg,34.3603,-106.7003,L30,2022-07-08,0.08950486208763943,0.13472107663112476,0.17437487087070697,0.2732917616648687,1.0
US-Seg,34.3603,-106.7003,L30,2022-07-09,0.09032027523311531,0.1344951115176503,0.17390137662065802,0.27208313878611645,1.0
US-Seg,34.3603,-106.7003,L30,2022-07-16,0.08961464223790737,0.132382219977155,0.1740130681120046,0.2639098238380635,1.0
US-Seg,34.3603,-106.7003,L30,2022-07-17,0.0948974319767362,0.13902486745759773,0.18338723315175612,0.27221294387483425,1.0
US-Seg,34.3603,-106.7003,L30,2022-07-25,0.0972908970105714,0.14199872122180213,0.18984635366181069,0.27551330657455775,1.0
US-Seg,34.3603,-106.7003,L30,2022-08-01,0.08110184493410479,0.12664442731939238,0.1566664091378116,0.26808975130941315,0.696829449215213
US-Seg,34.3603,-106.7003,L30,2022-08-02,0.08043103881387635,0.12356338462098564,0.15325675135727965,0.26837956093764914,1.0
US-Seg,34.3603,-106.7003,L30,2022-08-09,0.08071868472428913,0.12227777064817229,0.15523636781483646,0.2609375487505746,1.0
US-Seg,34.3603,-106.7003,L30,2022-08-25,0.0790877630240652,0.13253141825375356,0.15820785223063064,0.29274169940373435,0.48769687950814816
US-Seg,34.3603,-106.7003,L30,2022-08-26,0.07504620166468706,0.11766268607132939,0.14391871885537996,0.26788221542634283,1.0
US-Seg,34.3603,-106.7003,L30,2022-09-02,0.07680419675891172,0.11641257389381127,0.1483609722354954,0.25322234630769874,1.0
US-Seg,34.3603,-106.7003,L30,2022-09-03,0.07994052953249513,0.12051514146199374,0.15441236865218605,0.25951223212782343,1.0
US-Seg,34.3603,-106.7003,L30,2022-09-18,0.08495536972277126,0.1235670619836805,0.16507065531397289,0.2535225938877906,0.08979207339549743
US-Seg,34.3603,-106.7003,L30,2022-09-19,0.0830637896432618,0.12098312831924851,0.1617481680705922,0.24583474317491955,1.0
US-Seg,34.3603,-106.7003,L30,2022-09-26,0.07682717198884147,0.1115511438466196,0.14690036087939884,0.22140001456259878,1.0
US-Seg,34.3603,-106.7003,L30,2022-09-27,0.07882409154413608,0.11296010621595416,0.1507155969982843,0.22461981378076923,1.0
US-Seg,34.3603,-106.7003,L30,2022-10-12,0.07255411598199693,0.10305022913338878,0.13371630419448338,0.19668820156456907,1.0
US-Seg,34.3603,-106.7003,L30,2022-10-13,0.07595326361489203,0.10610642529159339,0.13860634201173208,0.20160733863958039,1.0
US-Seg,34.3603,-106.7003,L30,2022-10-20,0.06941991571896015,0.09805778029589379,0.12685092267715178,0.18908739152001675,1.0
US-Seg,34.3603,-106.7003,L30,2022-10-21,0.07250842355318309,0.10256302283142431,0.1328900187038377,0.19552173103790335,1.0
US-Seg,34.3603,-106.7003,L30,2022-10-28,0.07194251368656737,0.0997129033726068,0.12955975170769213,0.18741751607574378,1.0
US-Seg,34.3603,-106.7003,L30,2022-10-29,0.07351953208550058,0.10141905151974373,0.13325495788223393,0.1910008250622323,1.0
US-Seg,34.3603,-106.7003,L30,2022-11-05,0.07789533541760535,0.11098036506614603,0.14489410715342177,0.20389351736817451,1.0
US-Seg,34.3603,-106.7003,L30,2022-11-06,0.0748751967088527,0.10307347650188184,0.13617701566844626,0.18961563477002502,1.0
US-Seg,34.3603,-106.7003,L30,2022-11-13,0.07530542456801412,0.10494413787140326,0.1381117488315788,0.19145356305832764,1.0
US-Seg,34.3603,-106.7003,L30,2022-11-14,0.07575429164334369,0.1049886584661033,0.1391226639543826,0.19091627506928632,1.0
US-Seg,34.3603,-106.7003,L30,2022-11-21,0.07488753077486676,0.10183019145266481,0.1349511902649028,0.18524344978861482,1.0
US-Seg,34.3603,-106.7003,L30,2022-11-29,0.07285552673374561,0.09860336031964907,0.1305086419921634,0.1798528353834744,1.0
US-Seg,34.3603,-106.7003,L30,2022-12-07,0.05602736357803037,0.07904193072753836,0.10024420522342192,0.14299497226280022,1.0
US-Seg,34.3603,-106.7003,L30,2022-12-08,0.060771931046095184,0.08284238034777296,0.10773797743707358,0.1491315048170346,1.0
US-Seg,34.3603,-106.7003,L30,2022-12-15,0.06858739880131608,0.0953428886734839,0.1235737518260133,0.16574037753537124,1.0
US-Seg,34.3603,-106.7003,L30,2022-12-24,0.07117591300667608,0.09854301336573512,0.1283145830773501,0.1698485430575089,1.0
US-Seg,34.3603,-106.7003,L30,2023-01-08,0.06654777488042748,0.09064809616776119,0.1181426725099093,0.15764837467746123,1.0
US-Seg,34.3603,-106.7003,L30,2023-01-09,0.0716257994639143,0.09913002625818576,0.12938317701293778,0.172010517836908,1.0
US-Seg,34.3603,-106.7003,L30,2023-01-24,0.06821378213442181,0.09551710604757414,0.12506727328991832,0.1696612917025041,1.0
US-Seg,34.3603,-106.7003,L30,2023-01-25,0.07413693095599394,0.10288294764795143,0.13503053869499237,0.18182699165402125,0.023991881351227123
US-Seg,34.3603,-106.7003,L30,2023-02-01,0.07469833303753053,0.10277774698394926,0.13488502919345954,0.18000262809398335,1.0
US-Seg,34.3603,-106.7003,L30,2023-02-02,0.07678478390468771,0.10582549774507252,0.14014095412326316,0.1852512831014694,1.0
US-Seg,34.3603,-106.7003,L30,2023-02-10,0.0777148820657046,0.10763329783699897,0.1421470117092395,0.1879742201045776,1.0
US-Seg,34.3603,-106.7003,L30,2023-02-17,0.07106980676328503,0.10500954106280193,0.1355009963768116,0.18170111714975845,0.015072289650088055
US-Seg,34.3603,-106.7003,L30,2023-02-26,0.0845647384875832,0.11858893333515366,0.1565464751684937,0.20730447572369268,1.0
